"","year","index","negative","positive","sentiment"
"1",1997,0,1,0,-1
"2",1997,1,0,2,2
"3",1997,3,0,4,4
"4",1997,5,1,2,1
"5",1997,6,0,2,2
"6",1997,7,0,2,2
"7",1997,8,0,1,1
"8",1997,9,1,1,0
"9",1997,11,2,3,1
"10",1997,12,0,3,3
"11",1997,13,1,4,3
"12",1997,14,1,0,-1
"13",1997,15,0,2,2
"14",1997,16,0,2,2
"15",1997,17,1,1,0
"16",1997,18,0,2,2
"17",1997,19,1,2,1
"18",1997,20,0,2,2
"19",1997,21,0,2,2
"20",1997,23,0,1,1
"21",1997,24,1,3,2
"22",1997,26,0,1,1
"23",1997,27,0,2,2
"24",1997,28,2,6,4
"25",1997,29,0,5,5
"26",1997,30,0,2,2
"27",1997,31,0,3,3
"28",1997,32,1,1,0
"29",1997,33,3,2,-1
"30",1997,34,0,3,3
"31",1997,35,1,5,4
"32",1998,0,0,1,1
"33",1998,1,0,1,1
"34",1998,2,2,0,-2
"35",1998,3,1,3,2
"36",1998,4,0,1,1
"37",1998,5,0,1,1
"38",1998,7,0,2,2
"39",1998,8,0,1,1
"40",1998,9,0,2,2
"41",1998,11,0,1,1
"42",1998,12,0,2,2
"43",1998,13,2,1,-1
"44",1998,14,0,4,4
"45",1998,16,0,1,1
"46",1998,17,2,1,-1
"47",1998,18,0,4,4
"48",1998,19,1,3,2
"49",1998,20,2,3,1
"50",1998,21,1,3,2
"51",1998,22,0,2,2
"52",1998,23,1,3,2
"53",1998,24,0,2,2
"54",1998,25,2,2,0
"55",1998,26,0,1,1
"56",1998,27,3,1,-2
"57",1998,28,0,2,2
"58",1998,29,0,3,3
"59",1998,30,0,2,2
"60",1998,31,0,1,1
"61",1998,32,1,2,1
"62",1998,33,0,1,1
"63",1998,34,1,0,-1
"64",1998,35,2,0,-2
"65",1998,36,2,3,1
"66",1998,38,0,1,1
"67",1998,39,0,1,1
"68",1999,0,0,2,2
"69",1999,1,0,3,3
"70",1999,2,1,2,1
"71",1999,5,0,1,1
"72",1999,6,0,1,1
"73",1999,7,0,1,1
"74",1999,8,0,1,1
"75",1999,9,0,1,1
"76",1999,11,0,2,2
"77",1999,12,0,4,4
"78",1999,13,0,4,4
"79",1999,16,0,2,2
